symbol	demangled	category	pc_archive_provider	pc_archive_status
_ZN2MR16makeRTFromMtxPtrEPN9JGeometry5TVec3IfEES3_PA4_fb	MR::makeRTFromMtxPtr(JGeometry::TVec3<float>*, JGeometry::TVec3<float>*, float (*) [4], bool)	J3D/model/animation		not found in PC archives
_ZN2MR16sendArbitraryMsgEjP9HitSensorS1_	MR::sendArbitraryMsg(unsigned int, HitSensor*, HitSensor*)	HitSensor	libsmg-pc-game.a[GameActorSensorCompat.cpp.o]	provided
_ZN2MR17getAreaObjManagerEPKc	MR::getAreaObjManager(char const*)	other Game/runtime provider	libsmg-pc-game.a[AreaObjUtil.cpp.o]	provided
_ZN2MR17getFloorCodeIndexEPK8Triangle	MR::getFloorCodeIndex(Triangle const*)	Binder/KCL		not found in PC archives
_ZN2MR17getSceneObjHolderEv	MR::getSceneObjHolder()	other Game/runtime provider	libsmg-pc-game.a[SceneObjHolderCompat.cpp.o]	provided
_ZN2MR17getWallCodeStringEPK8Triangle	MR::getWallCodeString(Triangle const*)	Binder/KCL		not found in PC archives
_ZN2MR17getWarpPodManagerEv	MR::getWarpPodManager()	other Game/runtime provider		not found in PC archives
_ZN2MR17loadProjectionMtxEv	MR::loadProjectionMtx()	other Game/runtime provider		not found in PC archives
_ZN2MR17makeMtxUpFrontPosEPN9JGeometry10TPosition3INS0_9TMatrix34INS0_10SMatrix34CIfEEEEEERKNS0_5TVec3IfEESB_SB_	MR::makeMtxUpFrontPos(JGeometry::TPosition3<JGeometry::TMatrix34<JGeometry::SMatrix34C<float> > >*, JGeometry::TVec3<float> const&, JGeometry::TVec3<float> const&, JGeometry::TVec3<float> const&)	J3D/model/animation	libsmg-pc-game.a[MtxCompat.cpp.o]	provided
_ZN2MR17startSpinHitSoundEPK9LiveActor	MR::startSpinHitSound(LiveActor const*)	effects/audio		not found in PC archives
_ZN2MR18drawInitFor2DModelEv	MR::drawInitFor2DModel()	J3D/model/animation		not found in PC archives
_ZN2MR18getFloorCodeStringEPK8Triangle	MR::getFloorCodeString(Triangle const*)	Binder/KCL		not found in PC archives
_ZN2MR18initJointTransformEPK9LiveActor	MR::initJointTransform(LiveActor const*)	J3D/model/animation		not found in PC archives
_ZN2MR18invalidateClippingEP9LiveActor	MR::invalidateClipping(LiveActor*)	LiveActor/NameObj/Nerve ABI	libsmg-pc-game.a[LiveActorUtilCompat.cpp.o]	provided
_ZN2MR18sendMsgPlayerPunchEP9HitSensorS1_	MR::sendMsgPlayerPunch(HitSensor*, HitSensor*)	HitSensor	libsmg-pc-game.a[GameActorSensorCompat.cpp.o]	provided
